10,no,0,0,0
100001,no,0,0,0
100006,no,0,0,0
100027,yes,0,43,2
100028,yes,0,0,2
10003,no,0,0,0
100045,no,0,0,0
100049,no,0,0,0
100054,no,0,0,0
100065,yes,0,4,0
100066,yes,0,0,1
100074,yes,0,0,1
100077,no,0,0,0
100079,yes,0,1,0
10009,yes,0,0,1
100092,no,0,0,0
100106,no,0,0,0
100115,no,0,0,0
100125,yes,0,1,0
100127,yes,0,0,2
100129,yes,0,2,0
100138,no,0,0,0
100143,yes,0,0,1
100147,yes,0,3,0
100149,no,0,0,0
100151,no,0,0,0
100152,no,0,0,0
100153,yes,0,2,3
100158,no,0,0,0
100168,no,0,0,0
100175,yes,0,0,2
100176,no,0,0,0
100178,yes,0,0,2
100180,no,0,0,0
100195,no,0,0,0
100204,yes,0,1,0
100208,yes,0,0,17
100211,no,0,0,0
100217,yes,0,0,2
100222,yes,0,0,1
100223,no,0,0,0
100227,yes,0,1,2
10024,no,0,0,0
100243,yes,0,0,5
100249,yes,0,0,3
100252,no,0,0,0
100265,yes,0,0,1
100266,yes,0,0,1
100269,no,0,0,0
100277,yes,0,1,1
100279,yes,0,1,0
100289,no,0,0,0
100302,no,0,0,0
100313,yes,0,1,0
100315,yes,0,1,0
100329,no,0,0,0
100333,yes,0,0,3
100337,yes,0,0,5
100338,yes,0,0,1
100339,yes,0,0,1
10034,yes,0,0,8
100342,no,0,0,0
100345,no,0,0,0
100351,yes,0,0,1
100368,yes,0,0,4
100369,no,0,0,0
100371,no,0,0,0
100377,yes,0,0,8
100393,yes,0,1,0
100396,no,0,0,0
100404,no,0,0,0
100405,yes,0,0,3
100433,no,0,0,0
100434,no,0,0,0
100442,no,0,0,0
100455,no,0,0,0
100458,no,0,0,0
10046,no,0,0,0
100462,no,0,0,0
100463,yes,0,1,3
100468,yes,0,1,0
100480,yes,0,1,0
10050,no,0,0,0
100504,yes,0,0,1
100506,yes,0,0,1
100509,yes,0,0,1
100510,no,0,0,0
100518,yes,0,0,1
100528,no,0,0,0
100544,no,0,0,0
100565,yes,0,0,2
100578,yes,0,1,0
10058,yes,0,0,1
100582,yes,0,0,2
100584,yes,0,0,1
100591,yes,0,0,4
100592,yes,0,0,4
100597,yes,0,0,1
1006,yes,0,1,0
100601,yes,0,0,2
100615,yes,0,1,0
100635,no,0,0,0
100644,no,0,0,0
100666,yes,0,1,2
100675,yes,0,0,6
100677,no,0,0,0
100678,no,0,0,0
100682,yes,0,1,3
100686,yes,0,0,1
100695,no,0,0,0
100712,yes,0,0,1
100713,yes,0,0,1
100725,no,0,0,0
100733,yes,0,3,0
100734,yes,0,0,13
100739,yes,0,0,4
100744,yes,0,1,0
100748,no,0,0,0
10075,no,0,0,0
100758,yes,0,0,2
100763,yes,0,1,0
100767,no,0,0,0
10077,no,0,0,0
100772,no,0,0,0
100777,no,0,0,0
100778,no,0,0,0
100780,no,0,0,0
100796,yes,0,1,1
100802,yes,0,0,1
100809,no,0,0,0
100810,no,0,0,0
100811,no,0,0,0
100816,yes,0,1,0
100824,no,0,0,0
100826,yes,0,0,1
100834,yes,0,0,11
10084,yes,0,1,3
100846,no,0,0,0
100848,no,0,0,0
100852,yes,0,0,4
100853,no,0,0,0
100861,yes,0,0,1
100867,yes,0,0,2
100880,yes,0,0,4
100910,yes,0,3,3
100916,no,0,0,0
100918,yes,0,1,0
100923,yes,0,1,0
100931,no,0,0,0
